Permanent Ban    ,Teamkilling - 30 Days Ban ,Teamkilling - Permanent Ban
Cors***          ,DEAR0***                  ,hahaJokerh***
Black_k***       ,Chao***                   ,DeathRide***
duykhuong-1***   ,Kairuyy***                ,GodNeng***
Skidiki-pap-***  ,Oatb***                   ,abdulhamidZ***
Sij***           ,Ms***                     ,AiiNg_BiGb***
L7Comeb***       ,SuperSoleJ***             ,ROBBE***
Fiv***           ,longX***                  ,konodioda***
pan***           ,Luc***                    ,moslol***
DragonTerb***    ,ayinayan***               ,eric***
son***           ,DNA_BAR***                ,DKPz_Maiky17P***
HighSt***        ,SH***                     ,JEDKun***
AzKingA***       ,Niveka***                 ,SkySend***
Gunn***          ,IRON_MA***                ,kstv_men***
StepF***         ,kokok***                  ,Pro***
BFFBron***       ,TMzJangkrik1***           ,Matthew121***
asdfasdf***      ,NineEmpe***               ,OAOI***
Commande***      ,niwertyu***               ,ksv-jak***
sTrg***          ,StudentCl***              ,Beat_Of_Ange***
BEKT***          ,Odoi_Chem***              ,wo***
TKs***           ,luruDe***                 ,HY_chengziyue***
Lagendary***     ,fransardy***              ,izzat***
GamingG***       ,bothetk***                ,tayflowma***
willypra***      ,03-0001-002***            ,Ard***
MGe***           ,iqti***                   ,illkillyou***
okka***          ,Wizar***                  ,ILHA***
MildLiaOFFIC***  ,morganavs***              ,TkChina***
JGRCyre***       ,imthew***                 ,KeremTa***
Shr***           ,joel***                   ,asfar***
StmL_***         ,zaza582xzxz***            ,Ultraman-T***
Pear***          ,ZAKIIPRT***               ,
ChocoCr***       ,zz178***                  ,
BBR_4***         ,ATM_BossSpair***          ,
6ranok***        ,Blinkin***                ,
Arce***          ,XxAwangGanten***          ,
Steelserie***    ,ioio12i***                ,
GGWP***          ,UI12241***                ,
S***             ,Viavallen_***             ,
za***            ,farel_***                 ,
PMSxGINT***      ,RIDOONY***                ,
TheKapa***       ,Cloud_S***                ,
DHOZHNYUD16W***  ,mar***                    ,
MITH_Changy***   ,yeong1***                 ,
NguyenT***       ,asd11223***               ,
Kritab***        ,AlphaLi***                ,
BATTLRG***       ,Xy_CilsBarS***            ,
crmLz-REB***     ,NIT-Hum***                ,
VRD_GAM***       ,kontoll_gor***            ,
CnC***           ,Yangkrin***               ,
shann_loui***    ,AldyA***                  ,
DreadShe***      ,Xx_timexD***              ,
K_0_N_T_***      ,KiLLKawanTe***            ,
VozzySkur***     ,Yakuz***                  ,
Bir***           ,AMRC-Lyz***               ,
me***            ,tan-123-we***             ,
Lat***           ,PEMBUNUH_ka***            ,
minigametv***    ,neuua55***                ,
SoSMinid***      ,DiYiDION***               ,
En***            ,HumK***                   ,
KaTym***         ,BK***                     ,
AnnPro***        ,L***                      ,
gt***            ,SaTaN***                  ,
RORrgb***        ,ZOMOZ***                  ,
haikal_gami***   ,KST***                    ,
hhhhhhhh_***     ,GameMaste***              ,
ku***            ,GONZALES***               ,
Mad***           ,kuyguideHe***             ,
zarkash***       ,GuardMe***                ,
AliAkB***        ,12DRAG***                 ,
TheSpide***      ,Furkan0678***             ,
dambs***         ,Arda070***                ,
Tala***          ,saddsadsa***              ,
ToeiDek***       ,RockSt***                 ,
pakcho***        ,katilci***                ,
mchlc***         ,EXTREMELYPO***            ,
SUPERNATUR***    ,ZhongGuoRen_***           ,
Fatya***         ,obiwankenob***            ,
R_estehtic_***   ,HazretiVe***              ,
Pucach***        ,LeonRS***                 ,
concunnho***     ,Deucalio***               ,
S71V3N_G***      ,TKI***                    ,
andikatriwahy*** ,Bi***                     ,
ASTRO_NoNsTo***  ,crexis***                 ,
LULTEAM-***      ,zhumo***                  ,
MsVali***        ,d-y-h-love-***            ,
Morni***         ,saloh***                  ,
da***            ,hardworkin***             ,
2711_Y***        ,HULK20***                 ,
daGEP***         ,wearen***                 ,
TWICEibn***      ,PAVYONCUFUA***            ,
NinjaHattoriT*** ,danny0***                 ,
ZAMMY_P***       ,can55yv***                ,
iICrazy_Wol***   ,mohab46***                ,
PIYAPON***       ,ademard***                ,
Nu_Young_S***    ,unexmagic***              ,
Saidali***       ,Mohiekiller***            ,
0ZZ***           ,DILARAMM***               ,
IhatePr***       ,SaLaH***                  ,
chRisGLadiA***   ,Mr_KaRaHa***              ,
Fir***           ,MoMoUW***                 ,
1000***          ,bg_gol***                 ,
Crispyporke***   ,deren***                  ,
3Sach-Km***      ,afaf***                   ,
nak_pe***        ,LS-F***                   ,
VirusGamin***    ,NMI-A***                  ,
CNXOF***         ,X07CmNyaSyawe***          ,
MAHAlnw4***      ,Stephen_S***              ,
lSu***           ,qweeet4***                ,
SaR***           ,bulu***                   ,
DugDuyMa***      ,asmo***                   ,
Hz_KOLOxP***     ,Monovi***                 ,
fingam***        ,ferhatune***              ,
EZ_***           ,xth2***                   ,
Napk***          ,antepbal***               ,
sToM***          ,TODD***                   ,
SGa***           ,HRC0***                   ,
Juane***         ,xXxCaNaVaR***             ,
XvPhospho***     ,qwerQWER***               ,
Devl***          ,mehmetyasin3***           ,
Bos***           ,xxangele***               ,
SharksKoJA***    ,Not_L***                  ,
WP***            ,lokumc***                 ,
Zhkel***         ,hjtembailenag***          ,
TACKX***         ,Jacq***                   ,
Jadda_***        ,G***                      ,
Zerazor***       ,karaduman5***             ,
KINTILpe***      ,WhiteMur***               ,
BZD***           ,IParziv***                ,
Tax***           ,Ghostkiller***            ,
IniRi***         ,dta***                    ,
Boco***          ,CoCuKaD***                ,
SkSJo***         ,painting_br***            ,
TerlaLUGA***     ,CONSPIRAC***              ,
NewbieD***       ,Ashe***                   ,
Alfinsav***      ,BAIBEI-K***               ,
FIJCK***         ,berkay-_-ult***           ,
De***            ,Chengy***                 ,
Sent***          ,piskole***                ,
yazizda***       ,Kafalara_dik***           ,
presideNT***     ,NecipHa***                ,
Liker2***        ,Expert***                 ,
jibat***         ,GREYWOLF***               ,
V***             ,ThexAp***                 ,
m1***            ,So***                     ,
Gua_pron***      ,arkacisa***               ,
I_am_Cheat***    ,wzy***                    ,
ThikThiQ***      ,AleMs1zUs***              ,
MEPA***          ,qwer2***                  ,
AINGBAPATHA***   ,Yang_Bairen0***           ,
DOM_H***         ,MarabalarAQ5***           ,
fgrgdbff***      ,MrSaalam***               ,
akuntum***       ,Chenwei0***               ,
NiP_Rich***      ,catb***                   ,
Trix***          ,Omar_Al***                ,
M16A4***         ,OZDEMIR***                ,
XY***            ,kelleciRE***              ,
Sadkille***      ,BabiDo***                 ,
Victro***        ,joker10***                ,
AJK***           ,icemaple_***              ,
OoYeas***        ,CAIO5***                  ,
Muri***          ,Zigonkharper***           ,
lcezi***         ,60hasa***                 ,
SNG-PlayZ***     ,negeb***                  ,
gazap***         ,kenanpr***                ,
Ric***           ,umutkay***                ,
GodA***          ,KYURAS***                 ,
PhantomKey***    ,hali***                   ,
Adians***        ,izib***                   ,
HawkNin***       ,bY_nAn_Y***               ,
llaX***          ,filipexxx***              ,
medoma7z***      ,DarkGuardia***            ,
Ka***            ,V-u-r-u-***               ,
sekva***         ,SakuraMai0***             ,
szzsds***        ,lambos***                 ,
COSMI***         ,SouL_sa***                ,
cagri3***        ,Rapido_Garad***           ,
Gemo_P***        ,Tugr***                   ,
lSehza***        ,Yusuf_***                 ,
Oasi***          ,aze***                    ,
J***             ,Rivals***                 ,
ZDFXXGC***       ,XXEO***                   ,
Riperi***        ,MANYAK4***                ,
zPlayer***       ,RagnarLothbr***           ,
T1fa***          ,Veb***                    ,
Mirandinh***     ,HAMSIBALUK1L***           ,
ELTRxBE***       ,imamt***                  ,
EmreSanda***     ,nig***                    ,
Zuko***          ,YasinBe***                ,
zDANI***         ,ibobab***                 ,
Razma***         ,HellBo***                 ,
K-e-***          ,dz-***                    ,
AKA***           ,prajwaljain9***           ,
babasike***      ,Jar***                    ,
tari***          ,Fer***                    ,
GamingR***       ,wang------w***            ,
MuscleMONs***    ,MY-TEAM***                ,
Sr_I***          ,brt_e***                  ,
kj-1076812***    ,SHVEDLYA***               ,
iDenizzLev***    ,Cenabet***                ,
HeMaAa***        ,BvE***                    ,
GNL***           ,sgpr***                   ,
MAZE***          ,Wobbzy***                 ,
wo***            ,lwx***                    ,
Bingz***         ,katilh***                 ,
AbirBis***       ,UnrestK***                ,
AnthonyFan***    ,Fatih7***                 ,
1956***          ,jebA***                   ,
TaoNho***        ,ortadog***                ,
suleymanda***    ,cioann***                 ,
SNIPER_RI***     ,PhantasmHaye***           ,
S1***            ,wtcNta***                 ,
FaizanRajp***    ,HeyYou***                 ,
TRmeto***        ,DeaTH_AngeL1***           ,
Lukinhad***      ,ChinaWinn***              ,
SITo***          ,ESMER***                  ,
AndigC***        ,enesavuccu***             ,
xriv***          ,research***               ,
shawojubaoni***  ,shot***                   ,
apod***          ,jiji***                   ,
rayuqa***        ,azizmadhb***              ,
affetme***       ,AkBAB***                  ,
hbv***           ,RegoSn***                 ,
zLui***          ,ITeaMS***                 ,
KSTV-***         ,badass1***                ,
tbgalamig***     ,4der-number***            ,
Saz***           ,aaa1***                   ,
17Bolson***      ,Cornwal***                ,
q-q3153435***    ,TSR_GAMIN***              ,
HyperDefend***   ,CcCuluyankur***           ,
Dug***           ,osanyel***                ,
Mehmet***        ,sad1***                   ,
Miguel181***     ,evzenc***                 ,
Tekil***         ,EskepalPe***              ,
ahmetaktas1***   ,WehBabi***                ,
xCs***           ,S_U_B_W_***               ,
Stalin***        ,tabutcu***                ,
kadir***         ,Yusuf5454***              ,
